점검시행일자,점검종료일자,점검진단결과등급,점검진단결과내용,손상요약내용,조치요약내용,긴급보수도,붕괴유발부재여부,시설물명,안전성평가등급,,
2002-11-12,2002-11-12,B,,,,A,N,해창교*,A,,
1997-09-25,1997-09-25,C,슬라브하면 보강 필요,슬래브손상,보수요망,C,N,화산교*,A,,
1998-01-13,1998-01-13,B,"교대1번, 2번 
교각2번 누수
",누수,보수요망,B,N,화산교*,A,,
1994-12-07,1994-12-07,C,,,,A,N,동항교,A,,
2003-11-24,2003-11-24,B,,,,B,N,동항교,A,,
1994-11-09,1994-11-09,C,교면콘크리트 마모로 철근노출 보수요망,철근노출,보수요망,B,N,천서교,A,,
2003-11-17,2003-11-17,B,,,,A,N,천서교,A,,
1997-12-11,1997-12-11,C,,,,C,N,매상교,A,,
1998-09-12,1998-09-12,B,"
대체로 양호",양호,,B,N,발안1교*,A,,
1999-06-17,1999-06-17,C,,,,B,N,궁안교(하),A,,
1999-11-25,1999-11-25,B,,,,B,N,숙성교,A,,
1999-11-23,1999-11-23,B,,,,A,N,1천리교,A,,
1999-05-01,1999-05-01,B,교좌장치의 이동여유량이 부족한 곳이 일부 조사되었다.,교좌장치이동여유량부족,보수요망,B,N,복하교,A,,
1998-02-03,1998-02-03,B,"포장면 노후, 배수구 파손, 난간연석 부식, 교각1.2번 세굴 및 부식","노후,배수구파손,세굴,부식",보수요망,B,N,천남교*,A,,
2001-12-11,2001-12-11,B,,,,A,N,현덕IC교,A,,
2001-12-11,2001-12-11,B,,,,A,N,현덕교,A,,
2003-11-18,2003-11-18,B,,,,A,N,능서육교,A,,
1999-11-17,1999-11-17,B,,,,A,N,신원육교,A,,
2001-12-07,2001-12-07,B,,,,A,N,소양천교*,A,,
1999-11-30,1999-11-30,B,,,,A,N,신궁1육교,A,,
2002-11-13,2002-11-13,B,,,,A,N,신궁2육교,A,,
2000-12-12,2000-12-12,B,곡선부의 솔라등으로 인한 점검차 사용에 어려움이 있슴.,,,A,N,안성천2교,A,,
2001-12-10,2001-12-10,B,,,,A,N,장원육교,A,,
2003-03-01,2003-03-01,C,양호,양호,,B,N,장원교,A,,
1998-03-13,1998-03-13,B,"
대체로 양호
",양호,,B,N,발안교,A,,
2003-11-20,2003-11-20,B,,,,A,N,발안교,A,,
1999-11-24,1999-11-24,B,,,,B,N,둔전육교,A,,
2001-12-06,2001-12-06,B,,,,B,N,삼계교,A,,
